,,,,,,Time Differences,,,,"Mean Spring, Neap and Sea Level Heights",,,,,,,,,,
,,Lat.,S.,Long.,E.,High Water,,Low Water,,,,(metres),,,Range,,,,,
No.,Port,°,´,°,´,Mean,Range,Mean,Range,MHWS,MHWN,MLWN,MLWS,MSL,Ratio,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6375,ONEHUNGA,36,56,174,47,hhmm,hhmm to hhmm,hhmm,hhmm to hhmm,4.2,3.4,1.3,0.4,2.43,,,,,,
,Manukau Harbour,,,,,,,,,,,,,,,,,,,
6374,Cornwallis,37,00,174,36,-0020,-,-0011,-,3.5,2.9,1.1,0.5,2.0,0.79,*,,,,
6374a,Papakura Channel - LPG Terminal,37,02,174,50,+0005,-,-0004,-,3.9,3.2,1.1,0.4,2.1,0.92,*,,,,
6373,Paratutae Island,37,03,174,31,-0033,-0052 to +0002,-0028,-0047 to +0005,3.3,2.7,1.0,0.4,1.9,0.76,,,,,
6375a,Waiuku,37,15,174,44,+0030,-,-,-,-,-,-,-,-,-,*,,,,
,West Coast Beaches,,,,,,,,,,,,,,,,,,,
6375c,Anawhata,36,56,174,27,-0101,-0113 to -0043,-0058,-0109 to -0043,3.2,2.5,1.0,0.3,1.7,0.76,,,,,
6375e,Muriwai Beach,36,50,174,26,-0040,-,-0030,-,-,-,-,-,-,-,*,,,,
6375b,Piha Beach,36,57,174,28,-0045,-,-0035,-,-,-,-,-,-,-,*,,,,
6375d,Te Henga (Bethells Beach),36,53,174,27,-0040,-,-0050,-,-,-,-,-,-,-,*,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6477,PICTON,41,17,174,00,hhmm,hhmm to hhmm,hhmm,hhmm to hhmm,1.5,1.0,0.4,0.0,0.74,,,,,,
,Cook Strait,,,,,,,,,,,,,,,,,,,
6480,Fishermans Rock,41,04,174,36,0000,-,0000,-,1.5,1.0,0.5,0.0,0.7,1.00,*,,,,
,Queen Charlotte Sound (Totaranui),,,,,,,,,,,,,,,,,,,
6476,East Bay,41,14,174,08,-0012,-,-0019,-,1.4,1.0,0.4,0.0,0.7,0.93,*,,,,
6474,Long Island,41,07,174,17,-0004,-,-0003,-,1.5,1.0,0.4,0.1,0.7,0.93,*,,,,
6478,Okiwa Bay,41,17,173,55,-0003,-,-0006,-,1.5,1.0,0.5,0.0,0.7,1.00,*,,,,
,Tory Channel,,,,,,,,,,,,,,,,,,,
6479a,Okukari Bay,41,12,174,19,-0053,-0305 to +0023,-0034,-0144 to +0016,1.4,1.1,0.7,0.4,0.9,0.67,,,,,
6479,Te Iro Bay,41,14,174,11,-0019,-,-0010,-,1.3,0.9,0.4,0.0,0.7,0.87,*,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6497,PORT CHALMERS,45,49,170,39,hhmm,hhmm to hhmm,hhmm,hhmm to hhmm,2.1,1.8,0.4,0.1,1.13,,,,,,
6494,Oamaru,45,06,170,59,+0002,-0011 to +0014,+0002,-0019 to +0024,2.3,1.9,0.8,0.5,1.4,0.90,,,,,
